Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"20,432",₹290.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"32,902",₹379.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"45,785",₹270.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"15,029",₹255.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"23,961",₹423.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"9,314",₹89.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"25,580",₹90.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"10,592",₹284.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"9,229",₹215.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"38,313",₹94.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"16,296",₹450.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"62,069",₹190.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"8,279",₹189.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"9,016",₹215.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"13,785",₹610.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"3,659",₹544.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"11,789",₹135.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"5,470",₹120.00
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read…",Sadhguru,4.7 out of 5 stars,"3,631",₹197.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"14,286",₹151.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.3 out of 5 stars,"4,852",₹151.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"2,995",₹131.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"3,608",₹59.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,"1,104",₹163.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"4,054",₹310.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"5,994",₹118.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,"1,617",₹225.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"36,674",₹349.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"33,812",₹173.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"1,474",₹141.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"26,942",₹480.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,"1,522",₹499.00
XI CET | Maharashtra FYJC CET 2021 | Admissions to Std 11 College | 2179 Chapterwise Solved MCQs Question Bank |10…,Content Team at Target Publications,4.5 out of 5 stars,38,₹300.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"16,680",₹288.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"7,889",₹249.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.4 out of 5 stars,"1,432",₹250.00
